id,shoptype,shopTypeOtherNamely,title,subtitle,shortdescription,longdescription,websitelink,googlemapslink,country,city,zipcode,street,number,building,floor,door,latitude,longitude,addedon,updatedon,phone,fax
1,8,,Turkuaz,Turkuaz Halal meat,"Turkuaz Halal meat and Halal products from Turkey, some Arabic countries, and others.",None.,https://www.facebook.com/turkuaz.hus,https://goo.gl/maps/v8oHYaTxWUw1GziY7,Hungary,Budapest,1085,József krt.,37-39,,,,47.491486,19.070689,8/11/2023 00:00,8/11/2023 00:00,+36702272179,
2,8,,Troya,Troya Turkish Food Store,"Troya Halal meat and Halal products from Turkey, some Arabic countries, and others.",None.,https://www.facebook.com/TroyaTorokelelmiszeruzlet/,https://goo.gl/maps/h2ReGZv6YUi6h3pm9,Hungary,Budapest,1081,Népszínház u.,40,,,,47.494235,19.080076,8/11/2023 00:00,8/11/2023 00:00,+36707760589,
3,8,,Szír,Syrian Center,"Szír Halal meat and Halal products from Turkey, some Arabic countries, and others.",None.,,https://goo.gl/maps/pCKiVsC2swPoZbQr8,Hungary,Budapest,1111,Karinthy Frigyes út,27,,,,47.47573178,19.05403597,8/11/2023 00:00,8/11/2023 00:00,+3612791768,
4,8,,Cairo,Cairo market,"Cairo Market Halal meat and Halal products from Turkey, some Arabic countries, and others.",None.,,https://goo.gl/maps/JPQGkQuGfZRqDsta8,Hungary,Budapest,1067,Teréz krt.,25,,,,47.50663032,19.06179831,8/11/2023 00:00,8/11/2023 00:00,+3616037950,
